sale_id,sale_date,customer_id,dealer_id,salesperson_id,company_name,car_name,quantity,unit_price,total_price,payment_method,country
1,2023-11-25,CL0316,DL010,SP016,Chevrolet,Tahoe Sport Edition,2,75686.08,151372.16,Financing,Australia
2,2021-09-01,CL0800,DL007,SP020,Nissan,Qashqai e-Power,1,40752.99,40752.99,Financing,France
3,2022-10-24,CL0727,DL014,SP020,Mazda,CX-8,1,35268.81,35268.81,Cash,Australia
4,2020-09-23,CL0781,DL001,SP013,Mitsubishi,Triton Athlete,3,25987.43,77962.29,Financing,Spain
5,2024-09-08,CL0591,DL014,SP004,Ford,Ranger Raptor,2,46375.64,92751.28,Financing,USA
6,2020-02-20,CL0790,DL013,SP006,MERCEDES,BENZ GLE 350,2,55013.49,110026.98,Cash,Germany
7,2020-10-09,CL0064,DL006,SP005,ASTON MARTIN,DB11,3,198140.75,594422.25,Cash,Japan
8,2021-06-19,CL0552,DL006,SP018,Chevrolet,Trax LT,2,24223.78,48447.56,Financing,Japan
9,2020-01-04,CL0641,DL001,SP018,Mitsubishi,Xpander,3,20222.13,60666.39,Leasing,Australia
10,2024-06-22,CL0373,DL004,SP018,Nissan,Infiniti M45*,2,52810.66,105621.32,Leasing,UK
11,2021-06-30,CL0648,DL012,SP012,Volkswagen,Sharan Business,2,35562.94,71125.88,Leasing,Brazil
12,2021-02-03,CL0449,DL003,SP019,Ford,Transit Chassis Cab,2,39369.32,78738.64,Cash,Australia
13,2022-12-28,CL0761,DL004,SP005,GMC,Yukon Denali,3,70488.11,211464.33,Leasing,USA
14,2021-03-10,CL0107,DL012,SP008,Porsche,Panamera E-Hybrid,2,123772.91,247545.82,Financing,Italy
15,2020-07-18,CL0009,DL015,SP012,Nissan,Patrol Desert Edition,2,98641.88,197283.76,Financing,Italy
16,2020-02-05,CL0178,DL005,SP013,Peugeot,5008 GT Hybrid,3,51698.54,155095.62,Financing,Italy
17,2022-11-13,CL0656,DL009,SP010,BMW,M4 COMPETITION,3,77441.94,232325.82,Leasing,France
18,2021-10-17,CL0191,DL003,SP011,Jeep,Wrangler 392,1,82388.1,82388.1,Leasing,UK
19,2024-04-12,CL0624,DL011,SP008,Peugeot,Partner Electric,2,42133.98,84267.96,Leasing,Brazil
20,2024-05-20,CL0044,DL011,SP017,GMC,Sierra 2500HD,3,41857.65,125572.95,Cash,China
21,2024-02-23,CL0340,DL010,SP012,Volkswagen,Polo GTI,2,28232.15,56464.3,Cash,Brazil
22,2020-04-14,CL0213,DL013,SP007,Volkswagen,Beetle Final Edition,3,27036.51,81109.53,Financing,Germany
23,2021-03-08,CL0559,DL008,SP020,BENTLEY,Continental GT Azure,3,309150.45,927451.35,Financing,Spain
24,2024-06-12,CL0013,DL014,SP005,Volkswagen,Polo TDI,2,21946.99,43893.98,Cash,Australia
25,2022-11-07,CL0150,DL007,SP011,HYUNDAI,Santa Cruz,3,41199.59,123598.77,Leasing,Italy
26,2024-10-22,CL0188,DL011,SP004,Chevrolet,Silverado 3500HD,2,44509.33,89018.66,Cash,Italy
27,2023-08-11,CL0338,DL010,SP017,Porsche,718 Cayman,3,68305.82,204917.46,Financing,Australia
28,2024-05-10,CL0674,DL015,SP019,GMC,Sierra 3500HD Pro,1,65377.45,65377.45,Cash,Spain
29,2020-01-01,CL0529,DL008,SP008,Nissan,Pulsar,2,19225.22,38450.44,Cash,Brazil
30,2020-07-21,CL0016,DL011,SP003,AUDI,TT COUPE,2,48607.88,97215.76,Leasing,UK
31,2022-12-20,CL0238,DL013,SP018,KIA,SPORTAGE 2024(BASE MODEL),1,24975.97,24975.97,Financing,Japan
32,2024-01-09,CL0360,DL009,SP016,Peugeot,508 PSE,1,61641.7,61641.7,Cash,Spain
33,2020-12-20,CL0719,DL011,SP011,Nissan,R390 GT1 Road Car,2,1060747.08,2121494.16,Leasing,Japan
34,2024-02-17,CL0427,DL009,SP017,Nissan,Kicks,2,19331.83,38663.66,Cash,UK
35,2020-12-27,CL0013,DL003,SP017,Mazda,Cosmo Sport (110S),1,29589.13,29589.13,Cash,USA
36,2024-05-30,CL0669,DL008,SP010,Volvo,Volvo FMX,3,104463.5,313390.5,Cash,Italy
37,2020-12-25,CL0151,DL008,SP014,HYUNDAI,Tiburon,2,19783.1,39566.2,Cash,China
38,2024-02-02,CL0230,DL001,SP015,Cadillac,CT5 Premium Luxury,2,38729.49,77458.98,Financing,Japan
39,2021-08-26,CL0299,DL015,SP002,Bugatti,Bolide,3,4543053.42,13629160.26,Cash,Germany
40,2021-03-27,CL0281,DL011,SP013,Volkswagen,Arteon,3,48324.78,144974.34,Leasing,China
41,2024-06-04,CL0326,DL014,SP017,Acura,RDX SH-AWD,2,46764.77,93529.54,Leasing,Germany
